"release_group","MPR_Groupings","ExpansionStatus","Raw_Recoveries","Exp_Recoveries","SampleRate_obs","Proportion_of_group_raw_recoveries"
"WELLS HATCHERY2011COLUMBIA NEAR WELLS","Alaska Fisheries","missing",2,NA,NA,0.000508259212198221
"WELLS HATCHERY2011COLUMBIA NEAR WELLS","Alaska Fisheries","notmissing",741,2064.69,0.358891649593886,0.188310038119441
"WELLS HATCHERY2011COLUMBIA NEAR WELLS","Boundary Waters Sport","notmissing",1,1.24,0.806451612903226,0.000254129606099111
"WELLS HATCHERY2011COLUMBIA NEAR WELLS","California Fisheries","notmissing",7,25.33,0.276352151598895,0.00177890724269377
"WELLS HATCHERY2011COLUMBIA NEAR WELLS","Canadian Fisheries","notmissing",311,1017.09,0.305774316923773,0.0790343074968234
"WELLS HATCHERY2011COLUMBIA NEAR WELLS","Columbia commercial/treaty","notmissing",517,2858.67,0.180853333893034,0.13138500635324
"WELLS HATCHERY2011COLUMBIA NEAR WELLS","Columbia Estuary Sport","notmissing",3,5.78,0.519031141868512,0.000762388818297332
"WELLS HATCHERY2011COLUMBIA NEAR WELLS","Escapement","notmissing",1663,3731.49,0.445666476394148,0.422617534942821
"WELLS HATCHERY2011COLUMBIA NEAR WELLS","Oregon Fisheries","notmissing",141,453.4,0.310983678870754,0.0358322744599746
"WELLS HATCHERY2011COLUMBIA NEAR WELLS","Terminal Sport","notmissing",219,1501.8,0.145825009988014,0.0556543837357052
"WELLS HATCHERY2011COLUMBIA NEAR WELLS","WA Coastal Commercial/Treaty","notmissing",288,573.29,0.502363550733486,0.0731893265565438
"WELLS HATCHERY2011COLUMBIA NEAR WELLS","WA Coastal Sport","notmissing",42,93.77,0.447904447051296,0.0106734434561626
"WELLS HATCHERY2012COLUMBIA NEAR WELLS","Alaska Fisheries","missing",2,NA,NA,0.00078064012490242
"WELLS HATCHERY2012COLUMBIA NEAR WELLS","Alaska Fisheries","notmissing",499,1311.51,0.380477464906863,0.194769711163154
"WELLS HATCHERY2012COLUMBIA NEAR WELLS","Boundary Waters Sport","notmissing",1,1,1,0.00039032006245121
"WELLS HATCHERY2012COLUMBIA NEAR WELLS","California Fisheries","notmissing",2,6.36,0.314465408805031,0.00078064012490242
"WELLS HATCHERY2012COLUMBIA NEAR WELLS","Canadian Fisheries","missing",1,NA,NA,0.00039032006245121
"WELLS HATCHERY2012COLUMBIA NEAR WELLS","Canadian Fisheries","notmissing",286,1058.65,0.270155386577245,0.111631537861046
"WELLS HATCHERY2012COLUMBIA NEAR WELLS","Columbia commercial/treaty","notmissing",287,1625.62,0.176548024753632,0.112021857923497
"WELLS HATCHERY2012COLUMBIA NEAR WELLS","Columbia Estuary Sport","notmissing",2,2.95,0.677966101694915,0.00078064012490242
"WELLS HATCHERY2012COLUMBIA NEAR WELLS","Escapement","notmissing",1091,3307.86,0.3298204881706,0.42583918813427
"WELLS HATCHERY2012COLUMBIA NEAR WELLS","Oregon Fisheries","notmissing",78,243.51,0.320315387458421,0.0304449648711944
"WELLS HATCHERY2012COLUMBIA NEAR WELLS","Terminal Sport","notmissing",118,691.35,0.170680552542128,0.0460577673692428
"WELLS HATCHERY2012COLUMBIA NEAR WELLS","WA Coastal Commercial/Treaty","notmissing",169,309.79,0.545530843474612,0.0659640905542545
"WELLS HATCHERY2012COLUMBIA NEAR WELLS","WA Coastal Sport","notmissing",26,50.14,0.518548065416833,0.0101483216237315
"WELLS HATCHERY2013COLUMBIA NEAR WELLS","Alaska Fisheries","notmissing",158,376.04,0.420168067226891,0.106040268456376
"WELLS HATCHERY2013COLUMBIA NEAR WELLS","California Fisheries","notmissing",1,3.23,0.309597523219814,0.000671140939597315
"WELLS HATCHERY2013COLUMBIA NEAR WELLS","Canadian Fisheries","notmissing",150,517.01,0.2901297847237,0.100671140939597
